realization,lambda_short,lambda_long,eigenvalue_ratio,axis_ratio,d_short,d_long,Delta_chi2_LR
N100-78,0.0006474570804086724,0.05525812815734682,85.34639565987618,9.23831129914316,-0.7917670696413324,-0.4470120263386197,0.6056464448431598
N100-79,0.000609867983224761,0.03830674059643305,62.81152913435606,7.925372491836334,-0.7357303348838039,0.7330590263467626,1.1897281337476215
N100-80,0.0006334222818238974,0.04829444545521333,76.24367951842913,8.73176268106441,-0.12925855379243378,-1.1845085256472392,1.2340606026511978
N100-81,0.0006067970799736794,0.03810861168957774,62.80289234620369,7.924827590945036,0.47211905264854465,-0.051284037449236236,0.33989224820038544
N100-82,0.0006441336601525443,0.04502763783208058,69.90418389471698,8.360872197008932,1.1500117788495725,-1.9507764823633196,5.071172426625708
N100-83,0.000574731032308638,0.03276211030653774,57.0042480130846,7.550115761568468,-1.0789298352275625,1.727071584391901,4.30044272672626
N100-84,0.0006314305156778254,0.04560429536739123,72.22377480194496,8.498457201277475,0.35689375991700806,-0.7594231808669214,0.5709105287537568
N100-85,0.0006341767288443036,0.0416910944723128,65.74049878539198,8.108051478955469,-0.6126125384043588,0.19747296116066848,0.39494734160007283
N100-86,0.0005851319022746936,0.0377115413889266,64.44964159760119,8.028053412727221,0.7443448615892103,0.07272566232473635,0.7585497717007001
N100-87,0.0006862860695695224,0.058449041161148754,85.16716825945674,9.228605975956322,-2.802837954855787,-0.9833164971782461,9.11426867539899
N100-88,0.0006191947882644074,0.04276070232819281,69.0585630542052,8.310148196885853,0.43309288898095244,-0.5219838369371096,0.4095203321560348
N100-89,0.000654437224045779,0.05886137111638054,89.94196685893755,9.483773872195474,-1.7106445339778624,-1.1199996850832001,4.188470802350139
N100-90,0.0006519772971491479,0.05193433678707912,79.6566644485452,8.925058232221524,-1.2450070275574996,-0.9011630381444997,2.1147896536135704
N100-91,0.0005638966710795349,0.03104064784379526,55.04669460873112,7.419345969068374,2.1258440494422746,0.947004351303032,5.504523250742068
N100-92,0.0005924633724430442,0.03959122275415108,66.82476013815881,8.174641284983629,1.1417694825252045,-0.6114694917067307,1.7434753797506346
N100-93,0.000597112495529758,0.03719370202468891,62.28927095503281,7.892355222304228,0.3269808544159721,-0.013155420763786039,0.20634783823788894
N100-94,0.0005676523789835519,0.03206246418604222,56.4825681580932,7.515488550859033,0.2511404915324557,1.7875965374091212,3.4186076778651113
N100-95,0.0006363426093225412,0.045185527131611496,71.0081746367992,8.426634834665567,-0.706903060686374,-1.0365678761545543,1.402127828242783
N100-96,0.0006138143666397467,0.04222524593289838,68.79155690678182,8.29406757307787,1.635320787881063,-0.6732753934983593,3.2746426730448093
N100-97,0.0006052421100078263,0.03640962897431893,60.1571311253411,7.75610283101901,-0.8794294331819236,1.53012882271873,3.381447760446008
N100-98,0.0006557541742503233,0.052010192919388534,79.31355218416726,8.905815638343704,1.7332016356044464,-1.2108180521489362,4.449818848204131
N100-99,0.0006435120856250313,0.04414650936050929,68.602455721761,8.282659942419524,-1.1887046210050343,-0.2579554023894447,1.252196959989078
