realization,Delta_chi2_BAO_LR,Delta_chi2_CMB_LR,Delta_chi2_SN_LR,total_Delta_chi2_LR,classification
N100-88,0.10404713469795013,-0.008277347046999207,0.3137505445051829,0.4095203321560348,SNE dominated
N100-89,4.017147939216297,0.7632051249798222,-0.5918822618459672,4.188470802350139,BAO+CMB aligned
N100-90,-0.5462487153970255,1.361220536747624,1.2998178322629883,2.1147896536135704,broadly shared
N100-91,0.38892760524243286,2.5458144033511374,2.569781242148565,5.504523250742068,broadly shared
N100-92,0.21347170349016054,0.09846440662478527,1.4315392696357776,1.7434753797506346,SNE dominated
N100-93,0.12676168798427767,-0.14621691732683734,0.22580306758050028,0.20634783823788894,SNE dominated
N100-94,-0.0021966603340954904,1.9065149553285012,1.5142893828706292,3.4186076778651113,CMB dominated
N100-95,-0.12141730800362893,1.9139645344513379,-0.3904193982050401,1.402127828242783,CMB dominated
N100-96,-0.7173551227344142,0.4692982437174389,3.5226995520617947,3.2746426730448093,SNE dominated
N100-97,0.9063819931441728,0.4645522865524647,2.010513480749296,3.381447760446008,SNE dominated
N100-98,-2.5084445753233666,0.13682032382025278,6.821443099707267,4.449818848204131,SNE dominated
N100-99,-0.9529924095983215,1.1007620726867897,1.1044272969004396,1.252196959989078,broadly shared
