realization,chi2_min_LCDM,chi2_min_CPL,LCDM_random_start_seed,CPL_random_start_seed,LCDM_optimizer_success,CPL_optimizer_success,LCDM_optimizer_method,CPL_optimizer_method,LCDM_total_starts,CPL_total_starts,LCDM_restart_chi2_spread,CPL_restart_chi2_spread,max_restart_chi2_spread
N100-75,1559.916745523424,1558.8062095933765,910075,920075,True,True,SLSQP,SLSQP,7,9,3.456079866737127e-11,1.1937117960769683e-10,1.1937117960769683e-10
N100-76,1602.7992698151127,1602.07830142984,910076,920076,True,True,SLSQP,SLSQP,7,9,3.456079866737127e-11,1.1687006917782128e-10,1.1687006917782128e-10
N100-77,1559.309846274594,1555.6296610805898,910077,920077,True,True,SLSQP,SLSQP,7,9,5.002220859751105e-12,4.547473508864641e-13,5.002220859751105e-12
N100-78,1545.0634431608921,1544.457796716049,910078,920078,True,True,SLSQP,SLSQP,7,9,1.5916157281026244e-12,2.128217602148652e-10,2.128217602148652e-10
N100-79,1661.4696565115848,1660.2799283778372,910079,920079,True,True,SLSQP,SLSQP,7,9,7.617018127348274e-11,1.439275365555659e-10,1.439275365555659e-10
N100-80,1686.5172322156443,1685.283171612993,910080,920080,True,True,SLSQP,SLSQP,7,9,0.0,7.526068657170981e-11,7.526068657170981e-11
N100-81,1537.0136866705827,1536.6737944223823,910081,920081,True,True,SLSQP,SLSQP,7,9,1.7485035641584545e-10,4.3996806198265404e-10,4.3996806198265404e-10
N100-82,1625.0568260275497,1619.985653600924,910082,920082,True,True,SLSQP,SLSQP,7,9,1.4097167877480388e-11,1.0390976967755705e-10,1.0390976967755705e-10
N100-83,1584.1949632231617,1579.8945204964355,910083,920083,True,True,SLSQP,SLSQP,7,9,1.2050804798491299e-11,3.828972694464028e-10,3.828972694464028e-10
N100-84,1629.1113154458571,1628.5404049171034,910084,920084,True,True,SLSQP,SLSQP,7,9,1.4233592082746327e-10,2.871729520848021e-10,2.871729520848021e-10
N100-85,1671.835701865898,1671.440754524298,910085,920085,True,True,SLSQP,SLSQP,7,9,2.7284841053187847e-11,1.0300027497578412e-10,1.0300027497578412e-10
N100-86,1594.1513978772891,1593.3928481055884,910086,920086,True,True,SLSQP,SLSQP,7,9,4.547473508864641e-13,3.637978807091713e-11,3.637978807091713e-11
N100-87,1626.4006113569192,1617.2863426815202,910087,920087,True,True,SLSQP,SLSQP,7,9,2.6147972675971687e-11,4.661160346586257e-11,4.661160346586257e-11
N100-88,1584.2122554529042,1583.8027351207481,910088,920088,True,True,SLSQP,SLSQP,7,9,1.2141754268668592e-10,2.0395418687257916e-10,2.0395418687257916e-10
N100-89,1486.3273262003277,1482.1388553979775,910089,920089,True,True,SLSQP,SLSQP,7,9,5.88897819397971e-11,9.322320693172514e-11,9.322320693172514e-11
N100-90,1702.4494760243908,1700.3346863707773,910090,920090,True,True,SLSQP,SLSQP,7,9,2.5011104298755527e-12,1.0413714335300028e-10,1.0413714335300028e-10
N100-91,1537.5015081742363,1531.9969849234942,910091,920091,True,True,SLSQP,SLSQP,7,9,1.0459189070388675e-11,3.717559593496844e-10,3.717559593496844e-10
N100-92,1536.937638147293,1535.1941627675424,910092,920092,True,True,SLSQP,SLSQP,7,9,1.0913936421275139e-11,2.644355845404789e-10,2.644355845404789e-10
N100-93,1569.7301377856838,1569.523789947446,910093,920093,True,True,SLSQP,SLSQP,7,9,1.864464138634503e-11,3.5561242839321494e-10,3.5561242839321494e-10
N100-94,1597.0638449910207,1593.6452373131556,910094,920094,True,True,SLSQP,SLSQP,7,9,6.912159733474255e-11,3.410605131648481e-10,3.410605131648481e-10
N100-95,1573.6590905404344,1572.2569627121916,910095,920095,True,True,SLSQP,SLSQP,7,9,1.177795638795942e-10,2.7966962079517543e-11,1.177795638795942e-10
N100-96,1663.0470702006623,1659.7724275276175,910096,920096,True,True,SLSQP,SLSQP,7,9,1.9099388737231493e-11,6.707523425575346e-11,6.707523425575346e-11
N100-97,1527.3439205646973,1523.9624728042513,910097,920097,True,True,SLSQP,SLSQP,7,9,4.274625098332763e-11,8.799361239653081e-11,8.799361239653081e-11
N100-98,1678.2239112361394,1673.7740923879353,910098,920098,True,True,SLSQP,SLSQP,7,9,6.480149750132114e-11,6.971276889089495e-10,6.971276889089495e-10
N100-99,1630.9904951653664,1629.7382982053773,910099,920099,True,True,SLSQP,SLSQP,7,9,1.439275365555659e-10,2.778506313916296e-10,2.778506313916296e-10
