realization,omega_m_mean,omega_m_median,omega_b_mean,omega_b_median,H0_mean,H0_median,Omega_m0_mean,Omega_m0_median,w0_mean,w0_median,wa_mean,wa_median,DeltaM_mean,DeltaM_median,wp_mean,wp_median
N100-47,0.1478309956127564,0.1478403112840787,0.022051545382725687,0.02205117977522274,69.9743215890593,69.97007128751443,0.30199662936609445,0.3019538406289282,-1.0401842651332003,-1.0409932563665552,0.06784181785710647,0.07801107359865504,-0.0014576278999288942,-0.0015485021968666005,-1.0247760325880766,-1.024732236481486
N100-48,0.1469387347744444,0.14694531004590072,0.022461670141701136,0.02246194891626132,70.1356408786449,70.13269924352574,0.2987945108667359,0.2987384296080888,-0.9656738999969139,-0.9664855950744478,-0.138981328024832,-0.13064848146026659,0.008595961738691867,0.008554503803014472,-0.996706629856515,-0.9966478774392074
N100-49,0.145766716322427,0.14577449608241522,0.02248038214519966,0.02248043160116102,71.09606188564912,71.09178308298041,0.2884575205024961,0.2884099885749252,-1.041353111877408,-1.0421569591571727,0.08751774310181676,0.09597680414846432,0.025277836850422404,0.025194237816223004,-1.0209349357495305,-1.0208261748242045
N100-50,0.14726478084746442,0.14727216121561337,0.022521578040547847,0.022520747467955994,70.92620281428148,70.92436754864646,0.29281921207116146,0.2927713666280296,-1.0140093131306664,-1.014898873236708,-0.036763967311147096,-0.02693471515422345,0.01788574518916392,0.01784612326163957,-1.0222305291375446,-1.0221928357703665
N100-51,0.14551937769661027,0.14552627205368313,0.022350682438134668,0.022350517457463876,70.99122591454486,70.98731805862218,0.2888180274219584,0.2887648522400479,-1.100498147189856,-1.101135707236673,0.2955947511556108,0.3040796589878665,0.008277332875710953,0.008197373998695355,-1.0294319086969295,-1.029302669676133
N100-52,0.14764606721799348,0.1476534897301278,0.02243055827426963,0.022429517152268198,69.64813983253359,69.64397253214652,0.30445254575090275,0.3043934257569003,-0.9126695095410987,-0.9133702909200024,-0.3030122858034313,-0.29523871523163336,-0.0012464099250485416,-0.0013260406707680142,-0.9800307755861144,-0.9798844285121344
N100-53,0.14735095071155718,0.14736045069071899,0.022326531746542165,0.022325915564844936,70.5328630250925,70.52816294603691,0.2962684545960074,0.296218349641225,-0.9561332755403168,-0.9569853500422056,-0.2594958002133752,-0.2494157378648351,0.014760909077190831,0.014670167638693273,-1.0110402170122452,-1.0109843128103657
N100-54,0.1473312681403826,0.14733681982310007,0.022447875962821023,0.022447358240466897,70.22317953226792,70.21963934157064,0.29884729085127326,0.2987993543441903,-1.0091501034450756,-1.0098915853781947,0.004579125145865875,0.012865031774435765,0.014258828042801866,0.01420798629834173,-1.0080929059169306,-1.0080522231889386
N100-55,0.14726323363134117,0.147272241109843,0.022304153112135294,0.02230387602657013,70.0551353330328,70.05453506860454,0.3001431080342721,0.3000769943934149,-0.9490663616167302,-0.9497686224013602,-0.20320878401330594,-0.19594570614315607,0.002703015259135072,0.002680314235963009,-0.9952650787831654,-0.9951852342352272
N100-56,0.14810798150295418,0.1481152363887993,0.022146148038776518,0.02214551314456364,70.0433116324235,70.03972796221123,0.30196738602251144,0.30190778895853765,-0.952668429060223,-0.9535374802383186,-0.2640447005219734,-0.25346834599225593,-0.0003562692819072562,-0.0003995884101494398,-1.0094497414183596,-1.0094022819358566
N100-57,0.14593413909035785,0.14594099629984025,0.022408818838962962,0.022408217114614454,70.46291047644559,70.46056009595878,0.2940022497037592,0.2939485829290876,-1.0248650503401844,-1.0253739745370896,0.08676571463377625,0.09406130289255658,0.013602557924509,0.013573198166641036,-1.004179346413431,-1.004070646616453
N100-58,0.14883924395261966,0.14884422532177724,0.022204762923891043,0.022204662624569486,69.23770945842321,69.23589136823057,0.3105610121503466,0.3104874210981575,-0.898494970648006,-0.8992272027018156,-0.42164955583935,-0.4128672054511024,-0.01045977825921297,-0.010479531902698885,-0.990924285746707,-0.9908502772480827
N100-59,0.14668873802365623,0.14669527571644095,0.02212904797907227,0.022128493366827037,69.4156928866107,69.41427819492557,0.3045049215060052,0.30443788694553847,-0.9990193163837062,-0.9997269277091145,0.032663498307726586,0.04136730561800195,-0.018779582381889044,-0.018771637409839836,-0.9913504053567225,-0.9912936557214316
N100-60,0.14715150357493925,0.1471589066068239,0.02233562899732857,0.02233561859897086,71.06790270645212,71.06508664564844,0.29142885441060384,0.2913611841371457,-0.9926945095129951,-0.9935587402653953,-0.16674164360147772,-0.15592580873456643,0.02119283275887121,0.021116624938990733,-1.028219405634548,-1.0281655253346182
N100-61,0.14633912919681952,0.14634558219195432,0.022499454801914523,0.022499362851372266,68.45569695184429,68.45309722824575,0.312359348420447,0.31229809796283864,-0.9185396555267776,-0.9193232748924003,-0.06216522183593954,-0.053832556982088275,-0.036003103115409524,-0.036050133552783276,-0.9333989992495597,-0.9332836555853632
N100-62,0.14645445802884302,0.14646372950493178,0.022455157372828,0.02245451750738902,70.99094610873472,70.98692717087673,0.2906774275411321,0.2906154349472906,-1.0110258819637714,-1.0118253847891505,-0.05011279690901388,-0.04195134640080478,0.024121789189015065,0.024050936041455792,-1.022298013100829,-1.022209186951887
N100-63,0.14741264841338292,0.14741888499477737,0.022286685700697178,0.022286670026876794,71.49090496315004,71.48740702396294,0.2885015763301124,0.2884414991118276,-1.0281863337922357,-1.0287241013413206,-0.09899056602539115,-0.09118153807338143,0.035027039392369196,0.034990737106659474,-1.049869126745047,-1.0497273775663347
N100-64,0.14558374172425473,0.14559115363501643,0.022450666331604505,0.02245022165640937,69.64038294145331,69.63557407889206,0.30026573657635547,0.3002074228744678,-0.9520500371428483,-0.9527700041368634,-0.08905832745266407,-0.08104575546335532,-0.005470020946105761,-0.0055478235897780375,-0.9727902423603056,-0.9726524615019585
N100-65,0.14377383342912228,0.14377528923097008,0.022394547911624613,0.022394115498613365,68.41457205314447,68.4128311229705,0.3072519006167786,0.307195538757885,-1.0619182144925186,-1.0622749169036643,0.47218385888151027,0.47765100384846704,-0.05621421258818579,-0.05621581067889564,-0.9242137035624877,-0.9240520000345502
N100-66,0.14799941886176057,0.1480083781113982,0.022674404253510364,0.022674601028540957,69.6738653765001,69.67031014323285,0.3049542793484628,0.3049322920731179,-1.0077350186828506,-1.0083042258050683,0.07568772880030258,0.08495124913021693,-0.004019541894007515,-0.004044273020337981,-0.989777399024019,-0.9896343881575502
N100-67,0.14750378559622276,0.14751173533624654,0.022236489213308674,0.022236036941716546,69.99257039610127,69.98886671400743,0.3011712337295564,0.301126895511031,-1.0040249087356523,-1.0047969362898341,-0.04896667901112742,-0.03962792325416331,0.00029419705174617815,0.00025300238095717076,-1.0149487726016422,-1.0148656331328958
N100-68,0.1455249576557864,0.14552927896410833,0.02241883042681386,0.022418526665486573,69.77438218283196,69.77135936067427,0.2989913559636209,0.2989467913540412,-1.0540705022317667,-1.054577097143746,0.2877006416134374,0.29418652369340037,-0.008074277332839237,-0.008095880697891134,-0.9806260247330231,-0.980474525158706
N100-69,0.1467363958328999,0.14674368330561907,0.022465213702377314,0.022465079718752987,70.38903839128326,70.38495829568093,0.29623960365404955,0.2961879694868645,-0.9570551732265263,-0.9577768277171224,-0.18370418700173455,-0.17563138284877813,0.015325544831269468,0.015259391815911107,-0.998071211559761,-0.9979873436692761
N100-70,0.14687532612416224,0.14688316243292343,0.022337898399755717,0.022337609749747526,69.31238452389661,69.30914253938859,0.305801478496013,0.3057514603021133,-1.0611024061342405,-1.061797818120247,0.2873786758609789,0.29533096269424514,-0.027678666891339517,-0.027707983860867574,-0.9898889610308158,-0.9898148099974424
N100-71,0.1488164637745733,0.14882829370612072,0.022251680454790694,0.022251429101424483,70.25149978695961,70.24751318974651,0.3016167004105317,0.3015628486752495,-0.9395740119942344,-0.9405019731770411,-0.39373080009532585,-0.3837437768860248,0.014979133985345096,0.014937082269027012,-1.0216723063410202,-1.0215840957952826
N100-72,0.14760419616717255,0.14761424293573683,0.022437317429216473,0.022436603881455946,70.38506666533064,70.38269248891118,0.298024753600598,0.29795733973543903,-1.0004624213096136,-1.0011876412105192,-0.06397678103726835,-0.05507989065555624,0.008743023930797848,0.008710339509081257,-1.0146891468234975,-1.0146797580754514
N100-73,0.14563709364256852,0.1456449715952274,0.022492497928205617,0.022492197916406227,70.6209609130507,70.61712382937313,0.29209132050127296,0.29202865761718866,-1.0277274819839743,-1.0283246801813781,0.0986514006364164,0.10619782204317235,0.015037898592979531,0.015003518684363969,-1.0042756990247068,-1.0041205252248835
N100-74,0.14525712144349648,0.14526131102264608,0.022639723099545914,0.022639697517868027,69.81651767597155,69.8141963402409,0.2980807602107936,0.29801614227255524,-1.0475815204552814,-1.048258139362213,0.2773535928721538,0.28432303209788773,-0.015061069594330878,-0.015096548150682414,-0.9772573879548443,-0.9771673796805328
N100-75,0.14802327869986687,0.14803081211998886,0.022601884057531687,0.022601604056212792,70.9705888152574,70.96793298401435,0.2939597674288166,0.29389645790990826,-1.018348604940425,-1.0189046927550502,-0.046764221523969474,-0.038414120408619995,0.02331162551245762,0.02330828022802723,-1.0289080671330273,-1.0288159112242905
N100-76,0.148940714114311,0.14895108843083527,0.022235272610461935,0.022234558014263384,69.66671992639773,69.66124858683762,0.30695511901782674,0.3069118948713121,-1.0313020134474598,-1.0322085774358738,0.03900085985659961,0.05009432023808216,-0.013867147236834422,-0.013958716753500498,-1.0227637428123855,-1.0226225040657335
N100-77,0.14495803900960497,0.14496068853314903,0.022766908306323077,0.022766620504531175,70.55122165768834,70.54891562738796,0.29130416405506143,0.2912395683812314,-1.0681095149302502,-1.068695814481234,0.30656365532640767,0.313971874824563,0.0006429788792938543,0.0005843098874084122,-0.9910039774904408,-0.9909006863876453
N100-78,0.14754998038721248,0.1475616810583393,0.022280806325091395,0.02228038303303012,70.39187530081715,70.3883369954105,0.2978572981049988,0.29780485203572993,-0.9972570237997607,-0.9983701639210981,-0.10695807213694589,-0.09489479510855559,0.01061809821945502,0.010548656540584605,-1.0203350774459978,-1.020244687151274
N100-79,0.14732452024291598,0.14733374662711854,0.022289207063875528,0.022289140262547073,70.0936552824913,70.09113283906963,0.2999380854864132,0.2998921373972783,-1.051066380857378,-1.0516781282681809,0.13530502953252657,0.14331765978867875,-0.007177760265506063,-0.007184254084416372,-1.0192269999079935,-1.0191356522748576
N100-80,0.1472700320765089,0.14727774789736897,0.022397583993429518,0.02239717605677594,70.33318970708635,70.33029560212704,0.29778884308136705,0.2977260786140381,-0.9463682046829451,-0.9469819094565088,-0.25474347852540385,-0.24712050251692547,0.014232815739632898,0.014180302996933288,-1.0025495143823469,-1.0024418814204525
